scenario,query_number,query_work_id,query_subjects,relevance_mode,total_relevant,precision@10,recall@10,mrr@10,ndcg@10,relevant_found@10
keyword_only,1658,251aea398e2010c91eb809cd4d6f94ea3fe47fbf,76-02 76N10 35Q30 35Q35,top-level,356,0.7,0.019662921348314606,1.0,0.7421246259355073,7
keyword_only,1659,410d97afc15d454e8ee2f787afae523deaf4d715,76-06,top-level,165,0.1,0.006060606060606061,0.5,0.13886244387355454,1
keyword_only,1660,9b4c84e50d7a6390ea5f8a1ee2fcafaec81b8e56,76-01 82-01,top-level,217,0.0,0.0,0.0,0.0,0
keyword_only,1661,10.1209/0295-5075/17/6/001,76M28 76D05,top-level,165,0.6,0.03636363636363636,0.5,0.4966757172046536,6
keyword_only,1662,10.1007/bf01212349,76Bxx 35Q99,top-level,356,0.1,0.0028089887640449437,1.0,0.22009176629808017,1
keyword_only,1663,10.1017/s002211208800206x,76D99 76E99,top-level,165,0.0,0.0,0.0,0.0,0
keyword_only,1664,091e494f220eb3f9a3c0e366e7c97438ec0d739e,35-02 76D05 35Q30 65N12 65N30 65M99 65N99 35B40,top-level,483,0.8,0.016563146997929608,1.0,0.8364586133797037,8
keyword_only,1665,91537a3ba3ac60c821698cf978af899946451b9c,35Q20 35-02 82-02 82C40 76P05 82D05,top-level,403,0.4,0.009925558312655087,0.2,0.3063365306564336,4
keyword_only,1666,10.1063/1.1692443,76F05 76D05 65Yxx,top-level,335,0.2,0.005970149253731343,1.0,0.3589542101716347,2
keyword_only,1667,10.1002/sapm1971504293,76D05,top-level,165,0.6,0.03636363636363636,1.0,0.6306637463657283,6
keyword_only,1668,803fbeed630928dd2825ab01f5c151619c412a41,00A79 78-01 83-01,top-level,206,0.0,0.0,0.0,0.0,0
keyword_only,1669,f3052272f7726a3133cd5f1b79af6d3d6ec666d5,78A25 78-02 78A48,top-level,59,0.0,0.0,0.0,0.0,0
keyword_only,1670,633bfd9427b3593798d5030ac8d12b115944873d,78-01 78-03 01A75 78A25 35Q60 00A79,top-level,543,0.4,0.007366482504604052,1.0,0.5637884576902256,4
keyword_only,1671,56f9aa1b77c8e936d0b89a0d40eda90fdd475247,35-02 35Q55 35A05 35B30 35B35 35B40 35B65 35P25 35J10 35Q40 78A60 81V80,top-level,389,1.0,0.02570694087403599,1.0,1.0,10
keyword_only,1672,10.1093/acprof:oso/9780198508885.001.0001,78M10 78-01 78A25 78A46 78A45 65Z05 35Q60,top-level,417,0.6,0.014388489208633094,1.0,0.7058075148678526,6
keyword_only,1673,63a925d88a60c47f5a4f6ebbc1e486ea88f4a87f,01A75 81-03 01A60 78-03 83-03 82-03,top-level,475,0.4,0.008421052631578947,0.3333333333333333,0.3164618153841291,4
keyword_only,1674,10.1142/s0217751x02009916,78A25 78A02,top-level,59,0.3,0.05084745762711865,1.0,0.4440973278132557,3
keyword_only,1675,363266f440a641a875ea4e71e55b08b145142448,35Q55 35-02 37K40 37K45 76B15 76D33 78A60 82D10,top-level,500,0.2,0.004,0.3333333333333333,0.20483424751859086,2
keyword_only,1676,10.1119/1.2063069,78A50,top-level,59,0.0,0.0,0.0,0.0,0
keyword_only,1677,93b550ef7fe249436dce6eb083bb4c29f861cf23,65Z05 65M06 78M20 35Q60 78-01 65-01,top-level,417,0.0,0.0,0.0,0.0,0
keyword_only,1678,10.1142/s0217751x99001755,78A35 78A25,top-level,59,0.4,0.06779661016949153,1.0,0.5199967979955745,4
keyword_only,1679,10.1007/3-540-30669-2,01A75 85-03 78-03 60-03,top-level,416,0.4,0.009615384615384616,0.2,0.29155904987671,4
keyword_only,1680,1faecf9cff0a6bdf685296f390eff11b91c5153e,35-02 35C15 35A07 35L99 35C99 35B65 35B45 78A45 78A40 35J99,top-level,279,1.0,0.035842293906810034,1.0,1.0,10
keyword_only,1681,10.1007/978-3-642-23099-8,65L60 65Y15 65M60 65N30 76M10 74S05 78M10 86-08 65-06 00B15,top-level,506,0.0,0.0,0.0,0.0,0
keyword_only,1682,0125406ce2cdace8b0cc30857fbd5b2201cc380d,65N55 65-02 35Q30 35Q60 65N30 65M55 65M60 65F10 74S05 76M10 78M10,top-level,537,0.9,0.01675977653631285,1.0,0.8899541168509599,9
keyword_only,1683,10.1002/cpa.3160270604,76Y05 76W05 35L45 35L65 78A25,top-level,382,0.4,0.010471204188481676,0.5,0.3600558568883671,4
keyword_only,1684,10.1515/ans-2022-0036,35J96 90B06 78A05,top-level,353,0.3,0.0084985835694051,0.3333333333333333,0.24309789328476902,3
keyword_only,1685,df42de5f86aed7c8f73cb7cd4697949f00cad9a9,01A75 20-03 33-03 78-03,top-level,428,0.1,0.002336448598130841,0.1111111111111111,0.06625422345438903,1
keyword_only,1686,10.1016/0168-9274(87)90003-1,76Q05 70H20 78A05 74J10 76M99,top-level,295,0.7,0.023728813559322035,0.5,0.6500332220485792,7
keyword_only,1687,5383be3e4dab678287179f79b5697e6337fe52d6,00A79 78-01,top-level,149,0.1,0.006711409395973154,0.1,0.06362078819895171,1
