scenario,query_number,query_work_id,relevance_type,total_relevant,precision@10,recall@10,mrr@10,ndcg@10,relevant_found@10
hybrid_50_50,186,10.1016/0362-546x(93)90049-x,issn,7,0.2,0.2857142857142857,0.2,0.19796212533499344,2
hybrid_50_50,187,10.1016/j.na.2009.02.065,issn,7,0.4,0.5714285714285714,1.0,0.6920788373899056,4
hybrid_50_50,188,10.1080/07362999408809370,issn,4,0.4,1.0,1.0,0.8756458727267334,4
hybrid_50_50,189,10.1098/rspa.2003.1166,issn,3,0.0,0.0,0.0,0.0,0
hybrid_50_50,190,10.1080/07362999308809330,issn,4,0.4,1.0,0.5,0.7486761295186739,4
hybrid_50_50,191,10.1016/j.na.2006.09.035,issn,7,0.5,0.7142857142857143,0.5,0.6187869860554792,5
hybrid_50_50,192,10.1016/j.na.2010.11.008,issn,7,0.4,0.5714285714285714,1.0,0.7041249493150387,4
hybrid_50_50,193,10.1098/rspa.2005.1574,issn,3,0.0,0.0,0.0,0.0,0
hybrid_50_50,194,10.1081/sap-120015831,issn,4,0.4,1.0,1.0,0.8756458727267334,4
hybrid_50_50,195,10.1016/j.na.2005.12.017,issn,7,0.4,0.5714285714285714,1.0,0.6730234638881231,4
hybrid_50_50,196,10.1016/s0022-247x(03)00297-x,issn,3,0.0,0.0,0.0,0.0,0
hybrid_50_50,197,10.1081/sap-120019288,issn,4,0.4,1.0,1.0,0.9558295932317544,4
hybrid_50_50,198,10.1023/b:jotp.0000040295.09922.85,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,199,10.1353/ajm.2024.a928321,issn,6,0.0,0.0,0.0,0.0,0
hybrid_50_50,200,10.1142/s0219493703000723,issn,2,0.2,1.0,1.0,0.8503449055347546,2
hybrid_50_50,201,10.1080/07362999908809620,issn,4,0.4,1.0,0.5,0.6665048698100113,4
hybrid_50_50,202,10.1016/j.jmaa.2011.05.046,issn,3,0.0,0.0,0.0,0.0,0
hybrid_50_50,203,10.1142/s021949370500147x,issn,2,0.1,0.5,0.1111111111111111,0.18457569677956817,1
hybrid_50_50,204,10.1142/s0219493703000735,issn,2,0.1,0.5,1.0,0.6131471927654584,1
hybrid_50_50,205,10.1016/0022-1236(92)90067-s,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,206,10.1093/comjnl/13.3.284,issn,4,0.0,0.0,0.0,0.0,0
hybrid_50_50,207,10.1017/s1446788700025994,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,208,10.1103/physrevlett.80.5243,issn,5,0.0,0.0,0.0,0.0,0
hybrid_50_50,209,10.1007/bf02591324,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,210,10.2140/pjm.1969.28.413,issn,5,0.0,0.0,0.0,0.0,0
hybrid_50_50,211,10.1007/s11537-006-0503-4,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,212,10.1109/tsmc.1973.5408575,issn,2,0.1,0.5,1.0,0.6131471927654584,1
hybrid_50_50,213,10.2748/tmj/1178244708,issn,1,0.0,0.0,0.0,0.0,0
hybrid_50_50,214,10.1524/anly.1992.12.34.319,issn,4,0.1,0.25,1.0,0.3903800499921017,1
hybrid_50_50,215,10.1016/0165-0114(91)90131-9,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,216,10.1524/anly.1996.16.4.365,issn,4,0.2,0.5,1.0,0.5135312443624667,2
hybrid_50_50,217,10.1524/anly.1988.8.34.271,issn,4,0.0,0.0,0.0,0.0,0
hybrid_50_50,218,10.1524/anly.1986.6.23.191,issn,4,0.2,0.5,0.5,0.35914753008966527,2
hybrid_50_50,219,10.1137/1003001,issn,9,0.0,0.0,0.0,0.0,0
hybrid_50_50,220,10.2307/1970646,issn,11,0.0,0.0,0.0,0.0,0
hybrid_50_50,221,10.2307/2695294,issn,4,0.1,0.25,1.0,0.3903800499921017,1
hybrid_50_50,222,10.1515/crll.1953.191.30,issn,2,0.0,0.0,0.0,0.0,0
hybrid_50_50,223,10.1524/anly.2001.21.2.219,issn,4,0.1,0.25,0.5,0.24630238874073,1
hybrid_50_50,224,10.2307/3647769,issn,4,0.1,0.25,0.2,0.15101961822780524,1
hybrid_50_50,225,10.2307/1969343,issn,11,0.0,0.0,0.0,0.0,0
hybrid_50_50,226,10.1070/rm1966v021n02abeh004151,issn,6,0.1,0.16666666666666666,0.5,0.19092086617893467,1
